Date,Description,Amount
2023-01-01,Salary Deposit,2500.00
2023-01-02,Grocery Shopping,-120.50
2023-01-04,Electric Bill Payment,-45.00
2023-01-05,Gas Station Purchase,-30.25
2023-01-05,Restaurant Dinner,-60.75
2023-01-07,Internet Bill Payment,-55.00
2023-01-08,Movie Night,-25.50
2023-01-10,Medical Co-pay,-15.00
2023-01-12,Coffee Shop,-5.25
2023-01-14,Bookstore Purchase,-22.80
2023-01-15,Car Service,-80.00
2023-01-16,Salary Deposit,2500.00
2023-01-18,Grocery Shopping,-110.75
2023-01-20,Gas Station Purchase,-35.50
2023-01-20,Online Shopping,-75.20
2023-01-22,Utilities Bill Payment,-80.50
2023-01-24,Dentist Appointment,-50.00
2023-01-25,Concert Tickets,-70.00
2023-01-27,Salary Deposit,2500.00
2023-01-28,Grocery Shopping,-90.30
2023-01-30,Gas Station Purchase,-28.75
2023-01-31,Phone Bill Payment,-60.00
